date,sym,side,conv,margin,notional,entry,exit,qty,gross,cost,net,R,hold_bars
2026-03-24,SBIN,S,STD,2500,12500,1024.45,1034.25,12,-118,13,-131,-0.32,7
2026-03-27,SBIN,S,HIGH,5000,25000,1028.35,1014.75,24,326,26,300,0.46,7
2026-03-27,ICICIBANK,S,STD,2500,12500,1243.05,1231.75,10,113,13,100,0.56,5
2026-03-27,INFY,S,STD,2500,12500,1243.35,1240.25,10,31,13,18,0.07,5
2026-03-27,HDFCBANK,S,STD,2500,12500,756.85,755.25,16,26,13,13,0.04,4
2026-03-30,HDFCBANK,S,STD,2500,12500,730.95,736.25,17,-90,13,-103,-0.32,5
2026-03-30,BHARTIARTL,S,STD,2500,12500,1782.85,1789.55,7,-47,13,-60,-0.21,2
2026-03-30,ICICIBANK,S,STD,2500,12500,1203.05,1208.55,10,-55,13,-68,-0.35,2
2026-04-01,ICICIBANK,S,STD,2500,12500,1214.55,1212.95,10,16,13,3,0.02,7
2026-04-02,SBIN,S,HIGH,5000,25000,982.50,980.60,25,48,26,21,0.04,12
2026-04-06,RELIANCE,S,STD,2500,12500,1314.45,1300.65,9,124,12,112,0.28,12
2026-04-06,RELIANCE,S,STD,2500,12500,1302.85,1306.25,9,-31,12,-43,-0.09,7
2026-04-10,AXISBANK,L,STD,2500,12500,1349.25,1351.75,9,22,13,10,0.05,2
2026-04-15,SBIN,S,STD,2500,12500,1073.55,1070.65,11,32,13,19,0.12,2
2026-04-20,BHARTIARTL,S,STD,2500,12500,1848.05,1840.55,6,45,12,33,0.33,1
2026-04-21,ICICIBANK,L,HIGH,5000,25000,1384.95,1385.65,18,13,26,-14,-0.03,2
2026-04-24,INFY,S,STD,2500,12500,1166.15,1153.35,10,128,12,116,0.36,12
2026-04-24,INFY,S,STD,2500,12500,1129.55,1130.55,11,-11,13,-24,-0.03,7
2026-04-27,AXISBANK,L,STD,2500,12500,1325.55,1324.15,9,-13,13,-25,-0.11,3
2026-04-29,RELIANCE,L,STD,2500,12500,1417.95,1427.25,8,74,12,62,0.29,4
2026-05-04,RELIANCE,L,STD,2500,12500,1459.15,1465.05,8,47,12,35,0.17,6
2026-05-08,RELIANCE,L,STD,2500,12500,1429.75,1439.10,8,75,12,63,0.64,8
2026-05-08,ICICIBANK,S,STD,2500,12500,1265.35,1264.85,9,5,12,-8,-0.06,7
2026-05-11,BHARTIARTL,S,STD,2500,12500,1777.85,1762.95,7,104,13,91,0.31,12
2026-05-11,BHARTIARTL,S,STD,2500,12500,1764.95,1763.45,7,10,13,-3,-0.01,8
